name,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,Birth Date,DoB Source,DoB Source URL,Death Date,DoD (P570) Source,DoD Source URL,Marriage Date,P26+P2562 Source,P26+P2562 Source URL,Source for Dates,Place of Birth (P19),PoB Source,PoB Source URL,Place of Death,Place of Death Source,Place of Death Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,Source for Places,Occupation,Occupation Source,Occupation Source URL,Gender,LOD - WikiData,DoB Source LCCN,DoB Source Alt_LCCN,DoB Source OCLC,DoB Source Alt_OCLC,DoD (P570) Source LCCN,DoD (P570) Source Alt_LCCN,DoD (P570) Source OCLC,DoD (P570) Source Alt_OCLC,P26+P2562 Source LCCN,P26+P2562 Source Alt_LCCN,P26+P2562 Source OCLC,P26+P2562 Source Alt_OCLC,Source for Dates LCCN,Source for Dates Alt_LCCN,Source for Dates OCLC,Source for Dates Alt_OCLC,PoB Source LCCN,PoB Source Alt_LCCN,PoB Source OCLC,PoB Source Alt_OCLC,Place of Death Source LCCN,Place of Death Source Alt_LCCN,Place of Death Source OCLC,Place of Death Source Alt_OCLC,Place of Residence Source LCCN,Place of Residence Source Alt_LCCN,Place of Residence Source OCLC,Place of Residence Source Alt_OCLC,Source for Places LCCN,Source for Places Alt_LCCN,Source for Places OCLC,Source for Places Alt_OCLC,Occupation Source LCCN,Occupation Source Alt_LCCN,Occupation Source OCLC,Occupation Source Alt_OCLC
"Bland, Nathaniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bleeker, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blinkborne, John",Blinkborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Block, Anthony",Blok; Bloke; Blokke; Bloc,,Antonie; Antoine,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blok, Theunis",Block; Bloke; Blokke; Bloc,,Anthonius; Theuns; Teunis; Antonie; Antoine; Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blum, Hans",Bloom; Blumhoff; Blume; Bluhm; Blom; Blüm,,Hannes; Hanß; Hansz,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boehme, Anna Elisabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boersma, Fredrik",Baersma; Boerema; Boorsma; Boersema,,Frerik; Frederick; Frederiks,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Böhm, Samuel",Boehm; Bohm,,Samuël; Samwell,,,,,,,,,,,,,,,,,,,"Pennsylvania, United States",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolton, The Constable Of",,,,,Constable,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bond, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bond, Robert",,,,,,,,,before 1686-08-25,,,,,,death - 15908,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Bond, Samuel",Bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bond, Thomas, Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bond, Thomas, Sr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borden, Robert",Bordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bordman, Thomas",Boardman,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borner, Jacob",Börner; Boerner,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,"Pennsylvania, United States",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bouden, Mordecai",Bowden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bould, James",Bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult, Hannah",Bolt,,Ana,,,,,,,,,1683-01-01 00:00:00,,,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Bowater, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bowden, Rebecca",[Bouden?],,,,Widow,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braam, Jacob Romkes",Abraham,,Jakob; Jakop; Jacop,,,1656|circa,AF,https://allefriezen.nl/zoeken/deeds/3c5c3cde-ba41-4e8f-a25d-e1174a1861ee,1727-05-21 00:00:00,AF,https://allefriezen.nl/zoeken/deeds/3c5c3cde-ba41-4e8f-a25d-e1174a1861ee,1684|circa; 1697|circa,AF,https://allefriezen.nl/zoeken/deeds/3c5c3cde-ba41-4e8f-a25d-e1174a1861ee,AlleFriezen,,,,,,,"Harlingen, Netherlands",,,,Deacon; Merchant,AlleFriezen,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,[],,[]
"Bradbury, Elizabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradley, Margaret",,,Margret,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradley, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradshaw, Alexander",Bradshew,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradshaw, Jonathan",Bradshew,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradshaw, Roger",Bradshew,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braithwaite, George",Braythwaite,,,,,,,,,,,,,,,,,,,,,,,,,professor?,Spence collection letter 151-152,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Brassey, Thomas",Bracey; Brazy,,,,,1647,,,ca. 1690,,,,,,https://www.wikitree.com/wiki/Brassey-9,,,,"Chester County, Pennsylvania",,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brearley, Ann",Breareley,,Anne,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brearley, Richard",Breareley,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brearley, Samuel",Breareley,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breet, Brent",Brett; Breger; Breder; Brier; Brear,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breithaupt, Joachim Just",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brennan, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretton, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridge, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brinley, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brittain, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broadly, Peter",Broadley,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock, Ralph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooke, John",Brook; Brock,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooke, Richard",Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, George",Browne,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Browne, Dulcibella",Brown,,Dulciebella,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Browne, Katie",Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brownfield, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckley, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckley, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckman, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budd, Susan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budd, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bundon, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buntings, Job",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burche, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burckholder, Hans",Borckholter; Borghalter; Burkhold; Burkhalter; Burkholder,,Hannes; Hanß,,,"1674 (Lowry III, p.574)",,,1752-01-01 00:00:00,,"https://gameo.org/index.php?title=Burkholder_(Borcholder,_Borcholter,_Borckholder,_Borgholder,_Borkholder,_Burckhalter,_Burckholder,_Burgholder,_Burgholdter,_Burkhalter,_Burkalter)_family",,,,,,,,"Gerolsheim, Germany","Lowry III, p.783",,"Gerolsheim, Germany","Lowry III, p.444",,,Minister of the Mennonite congregations,"Lowry III, p.448",,Male,,,,,,,,,,,,,,,,,,,,,,,[],,[],,[],,[],,,,,,,,
"Burcki, Hans",Buk; Burky; Birky; Bergey; Burgy; Bürky,,Hannes; Hanß,,,,,,,,,,,,,,,,,,,"Bern, Switzerland",,,,Preacher,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burg, Peter",Berg; Burc; Bürg; Berk,,Pieter; Peder,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burgess, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burgess, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burkersroda, Baronin <Lpre>Von</Lpre>",,,,,Baroness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burnett, John",Burneitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burrow, Robert",burroughs; Burrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burton, Anthony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caasel, Hendrik",Castle; Cassel; Kassel,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Camelford, Gabriel",,,,,,,,,,,,,,,,,,,,,,,,,,preacher,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campen, Jacob Van",Campion; Campain; Kampen; Campagne,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canbey, Benjamin",Canby,,,,,,,,,,,,,,,,,,,,,,,,15990 - addressed to Canbey in Liverpool,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Canstein, Frh. Von",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cave, James",,,,,Priest,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceane, Henry",Ceanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaddock, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalk, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chambers, Benjamin",,,,,,,,,1715-09-27 00:00:00,,,1686-05-03 00:00:00,,,Burial Records; Marriage Record,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Chapman, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chorley, Joseph",Charlye; Churley; Chorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chorley, Mary",Charlye; Churley; Chorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claesen, Claes",Klaessen; Klassen; Klasen,,Claus; Niclaus; Klas; Clas; Klaes,,,,,,,,,,,,,,,,,,,"[Harlingen, Netherlands]",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Eleanor",Clarke,,Elenor; Elinor,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Hannah",Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, John",Clarke,,Jon,,,,,,,,,,,,,,,,,,,Bolton England ;,"“Friends’ Miscellany: Being a Collection of Essays and Fragments, Biographical, Religious, Epistolary, Narrative, and Historical; Early Stages of the Quaker Movement in Lancashire",,,Apprentice,"“Friends’ Miscellany: Being a Collection of Essays and Fragments, Biographical, Religious, Epistolary, Narrative, and Historical",,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Lydia",Clarke,,Lidea,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Matthew",Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Thomas",Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, William",Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claus, Jacob",Cloos,,,,,,,,,,,,,,,,,,,,,,,,,printer; merchant,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claus, Neekie",Cloos; Dauwes; Dawes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clayton, John",Cleaton?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clayton, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleaton, Anne",Clayton; Easton,,,,,1628|circa,,,1707-08-01 00:00:00,,,,,,"Clayton, Anne",,,,,,,,,,,travelling minister,,,Female,n.a.,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Cleaton, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clemeints, Johan",Clements; Clemence; Clemens,,John; Jan; Johannes,,,,,,,,,,,,,,,,,,,"Griesheim, Germany",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clowes, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clowes, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colbourne, Henry",Colb; Colborne; Coburn; Colbourn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colbourne, James",Colb; Colborne; Coburn; Colbourn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colbourne, Peter",Colb; Colborne; Coburn; Colbourn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coleman, Stephen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colleth, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Collins, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comberford, Mary",Cumberford,,,,,,,,1700-03-23 00:00:00,"England & Wales, Society Of Friends (Quaker) Burials 1578-1841",,,,,,,,,,,,"Stafford, Staffordshire, England","England & Wales, Society Of Friends (Quaker) Burials 1578-1841",,,,,,Female,,,,,,,[],,[],,,,,,,,,,,,,,,,,,[],,[],,,,,,,,
"Conway, Phillip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, Abigail",Cooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, Arthur",Cooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, Francis",Cooke,,,,,,,,,,,,,,,,,,,,,,,,15936,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Cook, Joane",Cooke,,Joan,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, Margaret",Cooke,,Margret,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, Thomas",Cooke,,,,,,,,,,,,,,,,,,,,,,,,,Merchant,15893,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Cookery, Henry",Cookry,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cookery, John",Cookry,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cooper, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cooper, Hugh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cooper, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coppock, Bartholomew",Coppack,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coppock, Joseph",Coppack,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corbett, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,Lawyer,,https://discovery.ucl.ac.uk/id/eprint/1317797/1/286118.pdf,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cowperthwaite, Elizabeth",Copperwaite; Coperwait; Cowperthwait; Copperthwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cox, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cremer, Steven Abrahamsz",Cramer; Kramer; Kremer; Kroner,,Stephen; Stefaan; Stefanus,,,1660,,,,,,,,,GAMEO,,,,,,,"Deventer, Netherlands",,,GAMEO,Brewer,GAMEO,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Cripps, John",Crips,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crisp, Gertrude",,,Geert,Davis,,,,,,,,1685-10-01 00:00:00,,,Marriage Record,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croasdale, John",Croasdol,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crompton, Susannah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crompton, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crompton, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crosby, Elizabeth",,,,,,,,,1683-01-01 00:00:00,,,,,,DoD: DAMS #16164,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crosby, Hugh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crosby, Thomas",Crosbye,,,,,,,,,,,,,,,,,,,,,,,,,Merchant,"Lancashire Quakers and the Oath, 1660-1722",,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Cross, Mary",Crose,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cross, Richard",Crose,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cross, Sarah",Crose,,Sara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cubban, Richard","Cobban; 
Cubham;
Cubbin;
Cobham",,,,,,,,,,,,,,,,,,,,,"Bickerstaffe, Lancashire, English",,,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",farmer,,http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Curtis, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D’Orville, Jacob Philippe",Darvill; Douville,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,"Frankfurt, Germany",,,,Merchant,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallem, Johannes",Dalem; Dahlem; Dalham; Dallim,,John; Jan; Johan; Johannsz,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
